"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSMUSG00000041324_Inhba",8849.26099368207,7.60893900872512,0.333729747219128,22.7997026699842,4.61638242219547e-115,8.10729080985968e-111,"Inhba"
"ENSMUSG00000026822_Lcn2",8989.2959927691,7.94155554916413,0.369996483200576,21.4638676575177,3.3890539420862e-102,2.97592826654589e-98,"Lcn2"
"ENSMUSG00000037664_Cdkn1c",965.428741834934,-5.79615761534489,0.334634057949677,-17.3208837464372,3.272925434224e-67,1.91597054919473e-63,"Cdkn1c"
"ENSMUSG00000033213_AA467197",7217.41028384548,5.38975850111153,0.326270721934949,16.5192833397602,2.66546455814041e-61,1.17027221425155e-57,"AA467197"
"ENSMUSG00000039196_Orm1",1377.37516691162,5.92825237043102,0.368184251621785,16.1013197721471,2.49720688159235e-58,8.77118945090498e-55,"Orm1"
"ENSMUSG00000031722_Hp",10838.0753776871,5.31095128755047,0.331045841792226,16.0429481874712,6.40406569241657e-58,1.87447002817033e-54,"Hp"
"ENSMUSG00000028965_Tnfrsf9",1201.75033899119,6.81385442083977,0.429520440901847,15.8638653064636,1.12736591645659e-56,2.8284000321158e-53,"Tnfrsf9"
"ENSMUSG00000016283_H2-M2",2085.34865649052,5.07410925757879,0.330664159536768,15.3452048286309,3.81353798643541e-53,8.37166926472234e-50,"H2-M2"
"ENSMUSG00000029379_Cxcl3",789.003924517342,8.26060384545645,0.538769105926893,15.3323636314391,4.64762305824991e-53,9.06906179433166e-50,"Cxcl3"
"ENSMUSG00000032024_Clmp",1409.20758278082,3.93072385571764,0.25834053560913,15.2152810492924,2.80014342862447e-52,4.9176118893503e-49,"Clmp"
"ENSMUSG00000032561_Acp3",1893.1394913292,4.13861298066722,0.278187084981115,14.8770852570247,4.6429040464516e-50,7.412607351253e-47,"Acp3"
"ENSMUSG00000032487_Ptgs2",1266.39510827719,5.88438405394382,0.403985446496058,14.5658317768168,4.63310783449125e-48,6.78055331577795e-45,"Ptgs2"
"ENSMUSG00000018796_Acsl1",6375.97226650806,3.79034088496264,0.268204804877421,14.1322631661836,2.40295822754928e-45,3.2462117224785e-42,"Acsl1"
